symbol,rule,family,signal_time,entry_time,exit_time,entry,exit,ret,mae,mfe,hold_min,exit_reason,ret_30m,ret_2h,ret_4h,ret_12h,ret_24h,runup_24h,dd_from_24h_high,qv30,volr20,volr5_20,tsell,tsell5,body_drop,drop_2m,drop_5m,close_pos,upper_wick,lower_wick,range_pct,break_depth,red_streak,qv_over_prev6max,signal_time_iso,entry_time_iso,exit_time_iso
4USDT,robust_post_pump_red_sell_1m,post_pump,1760304240000,1760304300000,1760305020000,0.14728,0.14773,-0.0038554046713742177,0.03367734926670285,0.028491620111731786,13,rebound_trail,-0.0869187848729076,-0.0558974358974359,-0.010746910263299436,0.26616231086657494,0.4523222561877527,0.674587833996589,0.1213459014437418,13274638.237429999,5.593444492996554,2.4685383610928304,0.6192655969688995,0.5780968116071553,0.034672609294094624,0.05365289468611445,0.05632088165566729,0.1347626339969358,0.0023595726551746687,0.005767844268204705,0.042800026217473995,0.036257468766974554,3,2.1402345826393376,2025-10-12T21:24+00:00,2025-10-12T21:25+00:00,2025-10-12T21:37+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760346780000,1760346840000,1760347200000,0.18411,0.19055384999999997,-0.03579999999999992,0.03671717994677115,0.006120553035684928,7,stop,-0.06675790754257915,0.039054122693154225,0.08818488090312648,0.16458979062559287,0.5911330049261083,0.6024893376272955,0.12278444825614643,24245874.90107,4.208428578210405,2.1289181942334037,0.6705196089715646,0.5687391767371065,0.06391092129347162,0.07880516361453027,0.0846673958436911,0.12643678160919425,0.0017795403701444832,0.009507829977628548,0.07519829164124466,0.06783987833360494,3,2.5024253541086328,2025-10-13T09:13+00:00,2025-10-13T09:14+00:00,2025-10-13T09:20+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760354460000,1760354520000,1760354820000,0.17884,0.17378059999999998,0.02749009170208019,0.011071348691567895,0.039404858770196505,6,trailing_stop,-0.057323498419388885,-0.06986899563318782,0.023569794050343207,0.2225486846600615,0.41115229907721407,0.5069485387012549,0.1475128644939966,11384632.71365,3.682613715775847,1.4199635542660176,0.6891330519873331,0.6478873773391234,0.022562141491395765,0.02378873854212138,0.04264540638878489,0.25471698113207364,0.0033324228352909014,0.008850040972411814,0.03474460529909848,0.021294433266264345,5,4.39170300275928,2025-10-13T11:21+00:00,2025-10-13T11:22+00:00,2025-10-13T11:27+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760507100000,1760507160000,1760508600000,0.20727,0.2010405,0.029255000723693716,0.02282047570801371,0.04129615674453668,25,trailing_stop,-0.0388286535075526,-0.033679601248427726,-0.008365600650126592,0.20499564333430165,0.41336785446617164,0.6556788251257082,0.1356666666666666,6777835.601,3.0398393877805723,1.373952486286929,0.6631221694076832,0.60838964854604,0.011719866603144306,0.014489999524918029,0.017523917779672216,0.12951807228916115,0.002048594568842239,0.002048594568842371,0.015817055740828916,0.012244504435017234,4,2.586196640013958,2025-10-15T05:45+00:00,2025-10-15T05:46+00:00,2025-10-15T06:10+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1760525460000,1760525520000,1760525820000,0.19173,0.1862137,0.027971188650706715,0.005998018046210696,0.03991972663665466,6,trailing_stop,-0.04712198031613479,-0.04920146810832249,-0.08709938568503262,-0.13406811816785613,0.4303835248470378,0.4685153975792862,0.20124999999999993,5750128.16894,2.8494149157185418,1.7325123248461838,0.6012808265977072,0.6055817584952699,0.010325245224574092,0.013533679822981481,0.02467565504960567,0.16860465116278994,0.004439855446566854,0.0029943211151264694,0.017759421786267417,0.010380803338549738,6,1.6084659095258276,2025-10-15T10:51+00:00,2025-10-15T10:52+00:00,2025-10-15T10:57+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1761274980000,1761275040000,1761275100000,0.13142,0.1274115,0.029701445746461743,0.003880687870947863,0.04177566389219178,2,trailing_stop,-0.08941567893532976,-0.08433818916846725,-0.07244227917814039,0.739078633836378,0.4346401659932291,0.7631190444235669,0.14694805194805205,12812706.815599998,2.1201023717244105,1.7065520567823025,0.6199238921164061,0.5929902393023936,0.015512589928057676,0.031837276144152216,0.04735315445975352,0.0456026058631837,0.006444844124700237,0.0010491606714626309,0.023006594724220543,0.015757022151176248,4,0.8733311258998575,2025-10-24T03:03+00:00,2025-10-24T03:04+00:00,2025-10-24T03:05+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1761313440000,1761313500000,1761315000000,0.11142,0.11085,0.004315778136779769,0.005474780111290656,0.030331052339559905,26,rebound_trail,-0.024599492252473043,-0.035324675324675314,-0.028511640073240918,-0.2229583652974405,0.3915324091420007,0.49536974902697617,0.27649350649350646,4810446.68193,5.02691950823357,1.7667330816187308,0.7022227217156847,0.6569557225977455,0.015376458112407137,0.021429826102230765,0.020569620253164556,0.170040485829961,0.002739483916578338,0.003711558854719015,0.02182750088370449,0.015975587865733276,4,3.715366326354942,2025-10-24T13:44+00:00,2025-10-24T13:45+00:00,2025-10-24T14:10+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1777883160000,1777883220000,1777883220000,0.014738,0.014898,-0.011656289862939406,0.011806215225946604,0.0,1,quick_reclaim,-0.01106268856855519,0.12363830273482135,0.11228414146746091,0.2616542639637327,0.5005086469989826,0.5015779293494858,0.08939375231510072,3255044.407158,2.826957653862882,1.2093547029097595,0.6455661510664223,0.5715069733062621,0.02614551696817645,0.03896273130049521,0.03745758287653367,0.06818181818181666,0.009045292486465071,0.0025749372771688302,0.03776574673181035,0.0044745762711864145,3,1.5181956501173965,2026-05-04T08:26+00:00,2026-05-04T08:27+00:00,2026-05-04T08:27+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1777889160000,1777889220000,1777889340000,0.014663,0.01378549,0.059045188569869865,0.0015685739616722039,0.0742911568613085,3,trailing_stop,-0.043551962446211956,-0.0179408220645334,0.11601369341955126,0.18011423055265086,0.4201355275895451,0.4222006786233641,0.09433263365847633,3513306.272838,5.969367728827516,3.2537031996300114,0.6726204681374544,0.6090862818524346,0.04672168431996875,0.05428055698813816,0.06797966963151203,0.17067833698030624,0.0025342777308467635,0.010137110923386828,0.05939307297420234,0.037286980231765465,3,3.57986255596571,2026-05-04T10:06+00:00,2026-05-04T10:07+00:00,2026-05-04T10:09+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1777894860000,1777894920000,1777896120000,0.014917,0.01449249,0.027658135013742726,0.009720453174230759,0.03958464004460227,21,trailing_stop,-0.059127584467977834,-0.02989730924216827,0.0003350981837677569,0.18375763343643436,0.420982482863671,0.4254607964855315,0.07852821335967408,3341464.528909,3.4939212827101103,1.606702264726505,0.6250582838414948,0.5371293484782516,0.017897091722595057,0.022335756861203815,0.03128245067497404,0.3448275862068963,0.003355704697986623,0.011185682326621925,0.032438478747203604,0.01782125150743674,4,3.2503872488182215,2026-05-04T11:41+00:00,2026-05-04T11:42+00:00,2026-05-04T12:02+00:00
4USDT,robust_post_pump_red_sell_1m,post_pump,1780968780000,1780968840000,1780968960000,0.012258,0.011318060000000001,0.07587971936694396,0.0006526350138684744,0.09387827949312855,3,trailing_stop,-0.034395708425370874,0.023753763800602234,0.02306920762286846,0.2955122777307366,0.4075436982520697,0.4435664583087626,0.0559197840339376,1736374.4949140002,4.711694938842635,2.172233887168663,0.6459277073410732,0.5718628871489948,0.014095851792186994,0.022676461194506614,0.01393700153065347,0.11417322834645444,0.004027386226339081,0.002335884011276642,0.02045912202980272,0.013643790849673154,3,2.022902719845942,2026-06-09T01:33+00:00,2026-06-09T01:34+00:00,2026-06-09T01:36+00:00
4USDT,robust_downtrend_range_flush_1m,downtrend_continuation,1760130960000,1760131020000,1760131080000,0.07739,0.0634078,0.17987192143687816,0.0148598010078822,0.23271742593182543,2,trailing_stop,-0.3755345759703058,-0.29433755812893225,-0.28022693452380953,-0.3689660795825179,-0.545806678795704,0.019631093544137057,0.554743685633738,27911370.12329,2.2602655538402536,2.1845761650791347,0.6019108208284767,0.6132026868979843,0.09241233728157615,0.18027751297532035,0.26435361216730036,0.1520408163265311,0.005042805206989561,0.017473906414917383,0.11492904890348309,0.07339449541284404,9,0.7730469643820002,2025-10-10T21:16+00:00,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00
