symbol,day,labels,event_count
EIGENUSDT,2025-10-10,core_trade,1
ENAUSDT,2025-10-10,core_trade,1
ENJUSDT,2025-10-10,core_trade,1
ESPORTSUSDT,2025-10-10,core_trade,1
ETHFIUSDT,2025-10-10,core_trade,1
EVAAUSDT,2025-10-10,core_trade,1
FETUSDT,2025-10-10,core_trade,1
FHEUSDT,2025-10-10,core_trade,1
FILUSDT,2025-10-10,core_trade,1
FLOCKUSDT,2025-10-10,core_trade,1
GIGGLEUSDT,2025-10-10,core_trade,1
GPSUSDT,2025-10-10,core_trade,1
GUNUSDT,2025-10-10,core_trade,1
HBARUSDT,2025-10-10,core_trade,1
HIGHUSDT,2025-10-10,core_trade,1
HIVEUSDT,2025-10-10,core_trade,1
HMSTRUSDT,2025-10-10,core_trade,1
HOMEUSDT,2025-10-10,core_trade,1
HUMAUSDT,2025-10-10,core_trade,1
HUSDT,2025-10-10,core_trade,1
HYPERUSDT,2025-10-10,core_trade,1
ICPUSDT,2025-10-10,core_trade,1
INITUSDT,2025-10-10,core_trade,1
INJUSDT,2025-10-10,core_trade,1
IOUSDT,2025-10-10,core_trade,1
JSTUSDT,2025-10-10,core_trade,1
JTOUSDT,2025-10-10,core_trade,1
JUPUSDT,2025-10-10,core_trade,1
KERNELUSDT,2025-10-10,core_trade,1
KSMUSDT,2025-10-10,core_trade,1
LDOUSDT,2025-10-10,core_trade,1
LTCUSDT,2025-10-10,core_trade,1
LUNA2USDT,2025-10-10,core_trade,1
MITOUSDT,2025-10-10,core_trade,1
MOODENGUSDT,2025-10-10,core_trade,1
MOVRUSDT,2025-10-10,core_trade,1
MUSDT,2025-10-10,core_trade,1
NAORISUSDT,2025-10-10,core_trade,1
NEARUSDT,2025-10-10,core_trade,1
NILUSDT,2025-10-10,core_trade,1
ONDOUSDT,2025-10-10,core_trade,1
OPUSDT,2025-10-10,core_trade,1
ORCAUSDT,2025-10-10,core_trade,1
ORDIUSDT,2025-10-10,core_trade,1
PENDLEUSDT,2025-10-10,core_trade,1
PENGUUSDT,2025-10-10,core_trade,1
PIPPINUSDT,2025-10-10,core_trade,1
PIXELUSDT,2025-10-10,core_trade,1
PLAYUSDT,2025-10-10,core_trade,1
PLUMEUSDT,2025-10-10,core_trade,1
POLUSDT,2025-10-10,core_trade,1
POPCATUSDT,2025-10-10,core_trade,1
PORTALUSDT,2025-10-10,core_trade,1
PUMPUSDT,2025-10-10,core_trade,1
RENDERUSDT,2025-10-10,core_trade,1
REZUSDT,2025-10-10,core_trade,1
RIFUSDT,2025-10-10,core_trade,1
RUNEUSDT,2025-10-10,core_trade,1
SAGAUSDT,2025-10-10,core_trade,1
SANDUSDT,2025-10-10,core_trade,1
SAPIENUSDT,2025-10-10,core_trade,1
SIGNUSDT,2025-10-10,core_trade,1
SIRENUSDT,2025-10-10,core_trade,1
SKYAIUSDT,2025-10-10,core_trade,1
SPKUSDT,2025-10-10,core_trade,1
SQDUSDT,2025-10-10,core_trade,1
STGUSDT,2025-10-10,core_trade,1
STORJUSDT,2025-10-10,core_trade,1
STOUSDT,2025-10-10,core_trade,1
STRKUSDT,2025-10-10,core_trade,1
STXUSDT,2025-10-10,core_trade,1
SUIUSDT,2025-10-10,core_trade,1
TAGUSDT,2025-10-10,core_trade,1
TAOUSDT,2025-10-10,core_trade,1
TIAUSDT,2025-10-10,core_trade,1
TONUSDT,2025-10-10,core_trade,1
TRUMPUSDT,2025-10-10,core_trade,1
TSTUSDT,2025-10-10,core_trade,1
UNIUSDT,2025-10-10,core_trade,1
USELESSUSDT,2025-10-10,core_trade,1
VANAUSDT,2025-10-10,core_trade,1
VETUSDT,2025-10-10,core_trade,1
VVVUSDT,2025-10-10,core_trade,1
WLDUSDT,2025-10-10,core_trade,1
WLFIUSDT,2025-10-10,core_trade,1
XLMUSDT,2025-10-10,core_trade,1
ZECUSDT,2025-10-10,core_trade,1
ZENUSDT,2025-10-10,core_trade,1
ZEREBROUSDT,2025-10-10,core_trade,1
ZKUSDT,2025-10-10,core_trade,1
ZROUSDT,2025-10-10,core_trade,1
COAIUSDT,2025-10-11,core_trade,1
DASHUSDT,2025-10-11,core_trade,1
ESPORTSUSDT,2025-10-11,core_trade,1
GIGGLEUSDT,2025-10-11,core_trade,1
MONUSDT,2025-10-11,core_trade,1
ZEREBROUSDT,2025-10-11,core_trade,1
4USDT,2025-10-12,core_trade,1
COAIUSDT,2025-10-12,core_trade,1
NAORISUSDT,2025-10-12,core_trade,1
USELESSUSDT,2025-10-12,core_trade,1
ZEREBROUSDT,2025-10-12,core_trade,1
4USDT,2025-10-13,core_trade,1
ALICEUSDT,2025-10-13,core_trade,1
BASUSDT,2025-10-13,core_trade,1
COAIUSDT,2025-10-13,core_trade,1
EVAAUSDT,2025-10-13,core_trade,1
HOMEUSDT,2025-10-13,core_trade,1
NAORISUSDT,2025-10-13,core_trade,1
SKYAIUSDT,2025-10-13,core_trade,1
TAGUSDT,2025-10-13,core_trade,1
ZEREBROUSDT,2025-10-13,core_trade,1
ALICEUSDT,2025-10-14,core_trade,1
BASUSDT,2025-10-14,core_trade,1
NAORISUSDT,2025-10-14,core_trade,1
USELESSUSDT,2025-10-14,core_trade,1
ZEREBROUSDT,2025-10-14,core_trade,1
4USDT,2025-10-15,core_trade,1
BASUSDT,2025-10-15,core_trade,1
CLOUSDT,2025-10-15,core_trade,1
COAIUSDT,2025-10-15,core_trade,1
SAPIENUSDT,2025-10-15,core_trade,1
XPLUSDT,2025-10-15,core_trade,1
BASUSDT,2025-10-16,core_trade,1
BLESSUSDT,2025-10-16,core_trade,1
CLOUSDT,2025-10-16,core_trade,1
COAIUSDT,2025-10-16,core_trade,1
EVAAUSDT,2025-10-16,core_trade,1
TAGUSDT,2025-10-16,core_trade,1
COAIUSDT,2025-10-17,core_trade,1
EVAAUSDT,2025-10-17,core_trade,1
BASUSDT,2025-10-18,core_trade,1
COAIUSDT,2025-10-18,core_trade,1
FHEUSDT,2025-10-18,core_trade,1
LABUSDT,2025-10-18,core_trade,1
NOMUSDT,2025-10-18,core_trade,1
SKYAIUSDT,2025-10-18,core_trade,1
BASUSDT,2025-10-19,core_trade,1
BLESSUSDT,2025-10-19,core_trade,1
PIPPINUSDT,2025-10-19,core_trade,1
COAIUSDT,2025-10-20,core_trade,1
AVNTUSDT,2025-10-21,core_trade,1
RIVERUSDT,2025-10-21,core_trade,1
4USDT,2025-10-22,core_trade,1
BASUSDT,2025-10-22,core_trade,1
BLESSUSDT,2025-10-22,core_trade,1
EVAAUSDT,2025-10-22,core_trade,1
UBUSDT,2025-10-22,core_trade,1
BASUSDT,2025-10-23,core_trade,1
EVAAUSDT,2025-10-23,core_trade,1
RIVERUSDT,2025-10-23,core_trade,1
4USDT,2025-10-24,core_trade,1
BASUSDT,2025-10-24,core_trade,1
PIPPINUSDT,2025-10-24,core_trade,1
COAIUSDT,2025-10-25,core_trade,1
EVAAUSDT,2025-10-25,core_trade,1
GIGGLEUSDT,2025-10-25,core_trade,1
PIPPINUSDT,2025-10-25,core_trade,1
RIVERUSDT,2025-10-25,core_trade,1
SWARMSUSDT,2025-10-25,core_trade,1
AIOUSDT,2025-10-26,core_trade,1
AIXBTUSDT,2025-10-26,core_trade,1
PIPPINUSDT,2025-10-26,core_trade,1
AIXBTUSDT,2025-10-28,core_trade,1
BLESSUSDT,2025-10-28,core_trade,1
COAIUSDT,2025-10-30,core_trade,1
币安人生USDT,2025-10-30,core_trade,1
BASUSDT,2025-10-31,core_trade,1
COAIUSDT,2025-10-31,core_trade,1
KITEUSDT,2025-10-31,core_trade,1
LABUSDT,2025-10-31,core_trade,1
PIPPINUSDT,2025-10-31,core_trade,1
JELLYJELLYUSDT,2025-11-01,core_trade,1
ZKUSDT,2025-11-01,core_trade,1
币安人生USDT,2025-11-01,core_trade,1
ASTERUSDT,2025-11-02,core_trade,1
JELLYJELLYUSDT,2025-11-02,core_trade,1
LABUSDT,2025-11-02,core_trade,1
ZKUSDT,2025-11-02,core_trade,1
COAIUSDT,2025-11-03,core_trade,1
币安人生USDT,2025-11-03,core_trade,1
COAIUSDT,2025-11-04,core_trade,1
DASHUSDT,2025-11-04,core_trade,1
GPSUSDT,2025-11-04,core_trade,1
ICPUSDT,2025-11-04,core_trade,1
JELLYJELLYUSDT,2025-11-04,core_trade,1
NAORISUSDT,2025-11-04,core_trade,1
ZENUSDT,2025-11-04,core_trade,1
币安人生USDT,2025-11-04,core_trade,1
COAIUSDT,2025-11-05,core_trade,1
GIGGLEUSDT,2025-11-05,core_trade,1
JELLYJELLYUSDT,2025-11-05,core_trade,1
KITEUSDT,2025-11-05,core_trade,1
ZKUSDT,2025-11-05,core_trade,1
币安人生USDT,2025-11-05,core_trade,1
GIGGLEUSDT,2025-11-06,core_trade,1
HUSDT,2025-11-06,core_trade,1
JELLYJELLYUSDT,2025-11-06,core_trade,1
SAPIENUSDT,2025-11-06,core_trade,1
SOONUSDT,2025-11-06,core_trade,1
币安人生USDT,2025-11-06,core_trade,1
AVNTUSDT,2025-11-07,core_trade,1
BASUSDT,2025-11-07,core_trade,1
BLESSUSDT,2025-11-07,core_trade,1
DUSKUSDT,2025-11-07,core_trade,1
FETUSDT,2025-11-07,core_trade,1
FILUSDT,2025-11-07,core_trade,1
LABUSDT,2025-11-07,core_trade,1
SAPIENUSDT,2025-11-07,core_trade,1
TIAUSDT,2025-11-07,core_trade,1
币安人生USDT,2025-11-07,core_trade,1
DUSDT,2025-11-08,core_trade,1
FETUSDT,2025-11-08,core_trade,1
FOLKSUSDT,2025-11-08,core_trade,1
HUSDT,2025-11-08,core_trade,1
ORDIUSDT,2025-11-08,core_trade,1
SOONUSDT,2025-11-08,core_trade,1
UAIUSDT,2025-11-08,core_trade,1
GIGGLEUSDT,2025-11-09,core_trade,1
MOODENGUSDT,2025-11-09,core_trade,1
币安人生USDT,2025-11-10,core_trade,1
BLESSUSDT,2025-11-11,core_trade,1
UAIUSDT,2025-11-12,core_trade,1
ESPORTSUSDT,2025-11-13,core_trade,1
UAIUSDT,2025-11-13,core_trade,1
ESPORTSUSDT,2025-11-14,core_trade,1
EVAAUSDT,2025-11-14,core_trade,1
RIVERUSDT,2025-11-14,core_trade,1
PIEVERSEUSDT,2025-11-15,core_trade,1
STRKUSDT,2025-11-15,core_trade,1
ZEREBROUSDT,2025-11-15,core_trade,1
PIEVERSEUSDT,2025-11-16,core_trade,1
SOONUSDT,2025-11-16,core_trade,1
BANANAS31USDT,2025-11-17,core_trade,1
SOONUSDT,2025-11-17,core_trade,1
SKYAIUSDT,2025-11-18,core_trade,1
SOONUSDT,2025-11-18,core_trade,1
BASUSDT,2025-11-19,core_trade,1
NILUSDT,2025-11-19,core_trade,1
SKYAIUSDT,2025-11-19,core_trade,1
BEATUSDT,2025-11-20,core_trade,1
FOLKSUSDT,2025-11-20,core_trade,1
NILUSDT,2025-11-20,core_trade,1
SAGAUSDT,2025-11-20,core_trade,1
ALLOUSDT,2025-11-21,core_trade,1
BASUSDT,2025-11-21,core_trade,1
